Post,Language,Author,Date,reply-to
"????????? ??????, ??????? ?????? group ? guild ??? onyxia ?? ??????????? ???? ???? ?",Greek/Greeklish,anna3,"November 10, 2023",461776
Yparxei kapoia guild pou tha xekinisei ston ONYXIA ? h kapoia parea atomvn ?,Greek/Greeklish,anna3,"November 10, 2023",461776
egw 8a bw alliance molis 3ekinisei,Greek/Greeklish,SilentHll,"November 11, 2023",461776
"LORDAERON x1 / Horde

Γεια χαρα!

Ψαχνω Έλληνες για παρέα ή casual Guild.

char name: Venetutsi
class: warlock
lvl: 35",Greek/Greeklish,pipernan,2022-05-19 00:00:00,447248
geia sou eimai ston  lordaeron. character: Patfenis            eimai  warlock. 8a  3ekinisw wow stis 16 tou mhna,Greek/Greeklish,LockandRoll18,"October 16, 2023",447248
Geia sas alania ego onyxia einai akribos oti epsaxna kai epeidi exo na pekso para polla xronia tha mpw me ta mpounia apla eimai teleios solo an psinete kapoios mporoune na kanoume kati,Greek/Greeklish,JMarou,"October 16, 2023",447248
"Originally Posted by JMarou

Geia sas alania ego onyxia einai akribos oti epsaxna kai epeidi exo na pekso para polla xronia tha mpw me ta mpounia apla eimai teleios solo an psinete kapoios mporoune na kanoume kati


ma o onixia den exei 3ekinisei, den einai beta?",Greek/Greeklish,LockandRoll18,"October 16, 2023",447248
"?????????,
???????? ?????? ?? ????? WoW, ????? ????? ??? ??????? ??????.
??? ??????? ???????? guild ? ????? ??? ?????? Icecrown, Slyrac ??????? Ingame ? ?????? ??? Discord ??? ????.",Greek/Greeklish,Slyrack,"October 16, 2023",461042
"kalispera,
Prosfata arxisa WoW, opote den gnwrizw arketa.
Ean uparxei elliniko guild h parea pou paizei Icecrown, Slyrac legomai Ingame h grapste mou Discord apo katw.",Greek/Greeklish,Slyrack,"October 16, 2023",461042
Kalhspera.. Yparxei kapoio Ellhniko guild ston Icecrown Horde h Alliance ?,Greek/Greeklish,Orchex,2023-02-20 00:00:00,454893
vrikes tipota?,Greek/Greeklish,fije23,2023-03-04 00:00:00,454893
"????????? ??????, ????? ?? ??? alliance. /w Mitce",Greek/Greeklish,Jimmis,2023-06-08 00:00:00,454893
"Kalispera se olous.

Parakatw ena link apo discord sto opoio tha ginontai diafora imprmptu raids, typou tha enimerwnw mia mera prin to raid.

Kyriws ICC Bane runs alla kai normals, makari na mazeutoume polloi kai gia 25man contents.

Gia osous den mporoun h den theloun na kanoun commit se mia guild alla na mpainoyn na paizoun opote mporoun se ena Elliniko community.

Molis mpeite sto channel  mpeite sto ""roles robot"" channel kai kante react.

https://discord.gg/mdbdqvrbvG",Greek/Greeklish,Onebuttonman,2023-03-11 00:00:00,455421
"kalhspera se oloys kai se oles,pros anazitisi ellhnikoy guild an yparxei ston Frostmourne eite alliance eite horde.An gnwrizei kapoios kati as afhsei ena minima re paloykaria.Thnks",Greek/Greeklish,Legeonarios,2022-11-28 00:00:00,452837
Egw tha paixw alliance an ginei kanena guild grapste,Greek/Greeklish,SilentHll,2022-04-15 00:00:00,445626
[QUOTE=SilentHll;3146556]Egw tha paixw alliance an ginei kanena guild grapste[/ kai ego to idio pragma psaxno as einai oti thane alliance h horde apla tha eithela na pexo se elliniko guild,Greek/Greeklish,kleezboi,2022-04-15 00:00:00,445626
"?????? ?????? ???? ??? horde,???? ??? alliance ?????? ??????? ??????? ????????? ?? wotlk ?? ??????? ?? ????????",Greek/Greeklish,Legeonarios,2022-11-28 00:00:00,445626
